price,region,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options
1483,reno / tahoe,apartment,987,2,2.0,1,1,1,0,0,0,na,carport
1200,reno / tahoe,apartment,850,2,1.0,0,0,1,0,0,0,na,na
1295,reno / tahoe,apartment,957,2,2.0,1,1,1,0,0,0,w/d in unit,carport
1899,reno / tahoe,house,1417,3,2.0,1,1,1,0,0,0,w/d hookups,detached garage
1800,reno / tahoe,apartment,1438,3,2.0,1,1,0,0,0,0,w/d in unit,carport
1360,reno / tahoe,apartment,900,2,2.0,1,1,1,0,0,0,w/d in unit,carport
1177,reno / tahoe,apartment,739,1,1.0,0,0,1,0,0,0,na,na
1399,reno / tahoe,apartment,823,1,1.0,1,1,0,0,0,0,w/d in unit,carport
1599,reno / tahoe,apartment,978,2,2.0,1,1,0,0,0,0,w/d in unit,carport
1799,reno / tahoe,apartment,1321,3,2.0,1,1,1,0,0,0,w/d in unit,carport
1379,reno / tahoe,apartment,940,2,2.0,1,1,1,0,0,0,w/d in unit,carport
1750,reno / tahoe,apartment,1096,2,2.0,1,1,0,0,0,0,w/d in unit,carport
1695,sacramento,house,1100,3,2.0,0,0,0,0,0,0,w/d hookups,attached garage
982,reno / tahoe,apartment,755,2,1.0,1,1,0,1,0,0,w/d in unit,na
1439,reno / tahoe,apartment,1040,2,2.0,0,0,1,0,0,0,na,na
1163,reno / tahoe,apartment,1000,2,2.0,1,1,1,0,0,0,w/d in unit,carport
1827,reno / tahoe,apartment,1683,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage
1135,reno / tahoe,apartment,665,1,1.0,1,1,1,0,0,0,w/d in unit,carport
1375,reno / tahoe,apartment,472,0,1.0,1,1,0,1,0,0,laundry on site,na
1485,reno / tahoe,apartment,1117,3,2.0,1,1,1,0,0,0,laundry in bldg,attached garage
1745,reno / tahoe,apartment,1098,3,2.0,1,1,0,0,0,0,w/d in unit,carport
984,reno / tahoe,apartment,984,2,2.0,1,1,1,0,0,0,laundry on site,na
2150,reno / tahoe,apartment,1283,3,2.0,1,1,1,0,0,0,w/d in unit,off-street parking
1410,reno / tahoe,apartment,1020,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage
1429,reno / tahoe,apartment,1121,2,2.0,1,1,1,0,0,0,w/d in unit,carport
1100,reno / tahoe,apartment,1425,2,2.0,1,1,1,0,0,0,na,na
274,reno / tahoe,apartment,220,0,1.0,0,0,0,0,0,1,laundry on site,no parking
1751,reno / tahoe,apartment,1151,3,2.0,1,1,1,0,0,0,w/d in unit,carport
1595,reno / tahoe,apartment,860,2,1.0,1,1,1,0,0,0,w/d in unit,carport
1250,visalia-tulare,house,1147,3,2.0,0,0,0,0,0,0,w/d hookups,attached garage
1230,reno / tahoe,apartment,648,1,1.0,1,1,1,0,0,0,w/d in unit,carport
2040,reno / tahoe,apartment,1500,3,2.0,1,1,1,0,0,0,w/d in unit,attached garage
1309,reno / tahoe,apartment,739,1,1.0,1,1,0,0,0,0,w/d in unit,na
1100,reno / tahoe,apartment,1170,2,2.0,1,1,1,0,0,0,laundry on site,off-street parking
750,reno / tahoe,apartment,400,0,1.0,0,0,1,0,0,0,laundry in bldg,off-street parking
1299,reno / tahoe,apartment,750,1,1.0,1,1,0,0,0,0,w/d in unit,na
1195,reno / tahoe,apartment,655,1,1.0,0,0,1,0,0,0,na,na
1737,reno / tahoe,apartment,1151,3,2.0,1,1,1,0,0,0,w/d in unit,carport
2145,reno / tahoe,apartment,1380,3,2.0,1,1,0,0,0,0,w/d in unit,na
1595,reno / tahoe,house,1048,3,2.0,1,1,0,0,0,0,w/d in unit,attached garage
2395,reno / tahoe,house,2175,4,2.5,0,0,0,0,0,0,w/d hookups,attached garage
309,reno / tahoe,apartment,250,0,1.0,1,1,1,1,0,1,laundry on site,na
1625,reno / tahoe,apartment,1134,2,2.0,1,1,1,0,0,0,w/d in unit,carport
1995,reno / tahoe,apartment,1316,2,2.0,1,1,0,1,0,0,w/d in unit,carport
1699,sacramento,apartment,860,2,1.0,1,1,1,0,0,0,laundry on site,carport
279,reno / tahoe,apartment,220,0,1.0,0,0,0,0,0,1,laundry on site,no parking
1132,reno / tahoe,apartment,1117,3,2.0,1,1,1,0,0,0,laundry in bldg,attached garage
1345,reno / tahoe,apartment,925,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking
1095,reno / tahoe,apartment,990,2,2.0,0,0,0,0,0,0,w/d in unit,attached garage
1745,reno / tahoe,apartment,1127,3,2.0,1,1,0,0,0,0,w/d in unit,carport
1399,reno / tahoe,apartment,1191,2,2.0,1,1,0,1,1,0,w/d in unit,carport
1435,reno / tahoe,apartment,955,2,2.0,0,0,1,0,0,0,na,na
1237,reno / tahoe,apartment,790,1,1.0,0,0,1,0,0,0,na,na
1479,reno / tahoe,apartment,960,2,2.0,1,1,1,0,0,0,w/d in unit,carport
800,reno / tahoe,house,400,1,1.0,0,0,0,0,0,0,w/d in unit,off-street parking
2057,reno / tahoe,apartment,1020,2,2.0,1,1,1,0,0,1,w/d in unit,attached garage
1198,reno / tahoe,apartment,700,1,1.0,1,1,1,0,0,0,na,carport
1504,reno / tahoe,apartment,976,2,2.0,1,1,1,0,0,0,w/d in unit,carport
1413,reno / tahoe,apartment,849,1,1.0,1,1,1,0,0,0,w/d in unit,carport
1575,reno / tahoe,apartment,1700,1,1.0,0,0,1,0,0,0,w/d in unit,off-street parking
1284,reno / tahoe,apartment,860,2,1.0,1,1,1,0,0,0,w/d in unit,carport
1240,reno / tahoe,apartment,840,2,1.0,1,1,1,0,0,0,laundry in bldg,na
1575,reno / tahoe,apartment,968,2,2.0,1,1,1,0,0,0,w/d in unit,carport
1242,reno / tahoe,apartment,790,1,1.0,1,1,1,0,0,0,w/d in unit,carport
1431,reno / tahoe,apartment,1035,2,2.0,1,1,0,0,0,0,w/d in unit,na
1845,reno / tahoe,apartment,1501,3,2.0,1,1,1,0,0,0,w/d in unit,carport
1277,reno / tahoe,apartment,680,1,1.0,1,1,1,0,0,0,w/d in unit,carport
1045,reno / tahoe,apartment,650,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking
1250,reno / tahoe,apartment,960,2,2.0,1,1,1,0,0,0,laundry on site,off-street parking
950,reno / tahoe,apartment,500,0,1.0,1,0,0,0,0,0,laundry in bldg,off-street parking
1045,reno / tahoe,apartment,650,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking
1199,reno / tahoe,apartment,860,2,1.0,1,1,1,0,0,1,w/d in unit,carport
1449,reno / tahoe,apartment,911,2,1.0,1,1,1,0,0,0,w/d in unit,carport
265,reno / tahoe,apartment,210,1,0.0,0,0,1,0,0,0,laundry on site,off-street parking
945,reno / tahoe,apartment,400,1,1.0,1,0,0,0,0,0,laundry in bldg,street parking
260,reno / tahoe,apartment,195,1,1.0,0,0,1,0,0,0,laundry on site,off-street parking
1620,reno / tahoe,apartment,1132,2,2.0,1,1,1,0,0,0,w/d in unit,detached garage
900,reno / tahoe,apartment,710,1,1.0,0,0,1,0,0,0,laundry on site,off-street parking
1745,reno / tahoe,apartment,1098,3,2.0,1,1,0,0,0,0,w/d in unit,carport
1100,reno / tahoe,apartment,1170,2,2.0,0,0,1,0,0,0,laundry on site,off-street parking
1102,reno / tahoe,apartment,680,1,1.0,1,1,1,0,0,0,w/d in unit,carport
895,reno / tahoe,house,622,1,1.0,0,0,0,0,0,0,no laundry on site,off-street parking
995,reno / tahoe,apartment,844,2,1.0,1,1,1,0,0,0,laundry on site,na
200,reno / tahoe,house,2500,3,2.0,1,1,1,0,0,0,na,na
1468,reno / tahoe,apartment,1167,2,2.0,0,0,1,0,0,0,na,na
1695,reno / tahoe,house,1092,3,2.0,1,1,0,0,0,0,w/d hookups,off-street parking
925,reno / tahoe,condo,672,1,1.0,0,0,0,0,0,0,w/d in unit,off-street parking
1695,reno / tahoe,house,1447,3,2.0,0,0,0,0,0,0,w/d hookups,attached garage
1202,reno / tahoe,apartment,760,1,1.0,0,0,1,0,0,0,na,na
